IDNUM;OTEXE;NREG;ZENVI;SUTOT;CHAFF;PRODV;PRODH;PRODT;PRODA;RESEX;CHRAM;CHRSE;CHRPH;CHRAC;CHRAG;CHRPV;CHRCA;ELECTQUA;ENTBT;ENTMT;LFERM;LMATE;ASSRE;ASSAU;TVANR;TXPRO;TAXES;AIMTX;FPERS;CHSOC;CFINL;CAGR4
8169;37;76;0;7;74519.26;0;0;56358.43;0;21717.87;0;0;2545.44;0;0;0;177.2;14535;0;1446.5;7148.39;0;0;1838.65;0;0;0;524.2;0;0;88.3;804.66
8171;37;76;0;14;85463.79;-1943.35;0;-360;87831.99;47864.35;3042.88;934.1;326.13;21435.02;10362.48;5979.76;3247.05;7410.6;2511.38;1486.85;6509.53;0;0;3973.14;0;252.16;0;459;380;0;196.94;0
8173;37;76;0;13;102569.98;-2379;0;0;72529.98;16716.03;0;404.5;0;25922.11;1680;4039.83;6348.39;5593.71;2911.28;10743.72;7487.68;0;0;4204.74;0;413.14;0;379;0;0;0;0
8174;37;76;0;9;605026;158453;0;210;196937;98522;4399;942;17932;44771;0;2999;4382;30014;0;8235;10294;1452;0;9329;0;1068;0;948;50290;3227;4322;0
8176;37;76;0;7;104004;2279;0;0;91946;23339;432;0;216;39447;4904;9524;5939;15962;1061;3630;7702;0;0;5082;0;119;0;346;0;0;238;287
8177;50;76;0;12;117686;1174;0;0;106382;35458;0;846;809;32223;0;10308;4230;10371;2417;5830;9028;0;0;6004;0;0;0;760;0;0;1944;0
8179;39;76;0;3;61831.96;5544;0;12;60191.96;9567.93;1170;4489.23;0;9025.93;14049.9;1329.38;6918.26;6567.43;2312.67;20540.92;14022.79;0;0;4482.8;0;211.84;1455;506;0;0;1122.23;4.41
8180;50;76;0;6;76523.71;11551.3;0;480;57586.08;49536.14;0;2627.28;1275.85;11618.05;0;3230.75;4446.9;2600;1178.97;12967.44;11572;0;0;6181.46;0;336.81;0;467;0;0;861.65;564.17
8181;48;76;0;26;333978;195464;0;3468;24013;100827;0;11080;40759;27337;0;8723;14291;18426;600;12617;26352;785;10620;7973;0;1411;0;983;945;129;0;4442
8183;50;76;0;1;127360.12;126403.53;0;0;0;23535.16;0;10084.71;16509.18;0;0;0;2986.5;0;0;891.06;17403.77;0;3609.06;3478.42;0;1051.67;0;349;0;0;1557.02;388.71
8249;74;76;0;7;302881;37604;0;189;43322;77571;0;13099;7127;54359;0;6369;15769;43335;2561;15369;26971;1872;1631;10308;0;1410;0;892;0;0;1589;1691
8250;50;76;0;7;231294;15690;0;1053;47197;-904;0;7220;3808;45493;0;8314;8410;32391;492;26334;21662;1336;6376;7080;0;936;0;1197;17807;2785;1769;984
8351;45;76;0;15;503486.42;297089.88;0;255703.15;0;165595.47;0;0;7192.2;0;0;0;0;14615;612.36;8551.65;137168.63;234;0;4047.08;0;1526.44;1059.93;2858.93;95163.69;28994.32;9875.09;4802.22
8374;47;76;0;17;240876;-6420;0;0;38181;50034;0;5547;3688;56298;0;5541;11767;29593;2104;10508;17053;1731;1148;10887;0;1083;0;1479;0;0;341;1902
8377;83;76;0;23;270050;33061;0;-2160;35752;45776;0;619;9426;69883;0;4733;11238;50025;1327;16987;17951;0;1996;9631;0;677;0;734;0;0;2597;2858
8799;48;76;0;11;240219;-2532;0;-600;153719;-35335.88;0;14725;2134;70531;10968;15682;16663;27769;181;34338;64275;0;1024;15295;0;759;0;1610;0;0;3792;2884
8815;48;76;0;16;92370;85696;0;2231;2623;-11935;0;4130;26589;0;0;0;8776;4500;0;6943;17240;0;3671;7440;0;1826;0;606;0;0;4098;2252
8817;48;76;0;16;146799;24285;0;696;-7028;-41933;0;8727;7222;31753;12988;4250;15334;25525;0;14086;10376;3426;3147;6426;0;802;0;666;0;0;7414;3311
